Video ID,Title,Comment
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",its better Indian should take all over the Jamu Kashmir all Lhada region and muss be under Indian control then it will be step by step peace region
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Derek o brein is a literate idiot
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",That creepy guy @12:42 at the back 😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Look at those morons gulam nabi azad or whatever shit his name is that asshole came here to shout so that he will not be able to present this bill. How useless behavious is this... Well done amit shah. Let them shout.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",🇨🇮🇨🇮🇨🇮🇨🇮🇨🇮🇨🇮
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Ye padhati nahi hai,ye padhati nahi hai😂😂😂 what are those brainless opposition doing over there... totally uncivilized ppl"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Cowards
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Gunda
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Opposition are bull shit
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",MODI IS NEW INDRA OF INDIA
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Very good desicion ..jai hind
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Sooner or later these #Corrupt and #murderer #inhuman Bjp and this #puppet #speaker of Rajya sabha.............. All are ready to set INDIA as palestine.


Almighty!! Save from these breeders

To hell with these BJP BHADWAAS"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Relevant discussion starts at 3:30
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Sound is not clear...parliament ko machi bajar bana  dala ha congress na....
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Book dekh kr congressi sir ko samja rha h .....
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Proud of india
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",पप्पू कहा है आज
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","This speaker sounds drunken...what ur problem instead of saying What is your problem! And the arrangement! Ha ha ha, every  rationale knows about."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Now soon Reservation should also be removed ..then it will all fine !!!
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",App log congre ke ristedar ho the qiunt valle
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Ise bolte he himmat...
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Shameless terrorists of Parliament ...!!!!
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",In madarxhod gawaro ko hum vote dete he.. Ye chalayenge desh ko..
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Am supporting BJP on this
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Great decision 👍👍👍
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What about the j&k people  plz
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I love you vainkeya Naidu G.  You are awesome . We got best speaker of rajyasabha
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Inki Maa nahi chudrahi hi 
Inki position cheen le jaarahi hi isliye ye Yeh Mar rahe hi hi"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Tu madar chot chuphoja ajad
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Yeah ajad bi gaaandu hi saala
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Fuck of BJP
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Only Modi and shah have balls to scrap 370
